A,B,,C,D,E,F,G,H
0,-15.358512961711,,0,-20.1324627518141,0,-20.1324627518141,0,-20.1324627518141
1,-15.358512961711,,0,-20.1312855156594,0,-20.1312855156594,0,-20.1312855156594
0,1E+308,,0,-20.1301082795046,0,-20.1301082795046,0,-20.1301082795046
0,-15.353478855782,,0,-20.1289310433499,0,-20.1289310433499,0,-20.1289310433499
1,-15.353478855782,,0,-20.1277538071952,0,-20.1277538071952,0,-20.1277538071952
0,1E+308,,0,-20.1265765710404,0,-20.1265765710404,0,-20.1265765710404
0,-15.3512747337266,,0,-20.1253993348857,0,-20.1253993348857,0,-20.1253993348857
1,-15.3512747337266,,0,-20.1242220987309,0,-20.1242220987309,0,-20.1242220987309
0,1E+308,,0,-20.1230448625762,0,-20.1230448625762,0,-20.1230448625762
0,-15.3493155141218,,0,-20.1218676264214,0,-20.1218676264214,0,-20.1218676264214
1,-15.3493155141218,,0,-20.1206903902667,0,-20.1206903902667,0,-20.1206903902667
0,1E+308,,0,-20.1195131541119,0,-20.1195131541119,0,-20.1195131541119
0,-15.3102399675594,,0,-20.1183359179572,0,-20.1183359179572,0,-20.1183359179572
1,-15.3102399675594,,0,-20.1171586818024,0,-20.1171586818024,0,-20.1171586818024
0,1E+308,,0,-20.1159814456477,0,-20.1159814456477,0,-20.1159814456477
0,-15.2818312832898,,0,-20.1148042094929,0,-20.1148042094929,0,-20.1148042094929
1,-15.2818312832898,,0,-20.1136269733382,0,-20.1136269733382,0,-20.1136269733382
0,1E+308,,0,-20.1124497371834,0,-20.1124497371834,0,-20.1124497371834
0,-15.2803618685862,,0,-20.1112725010287,0,-20.1112725010287,0,-20.1112725010287
1,-15.2803618685862,,0,-20.1100952648739,0,-20.1100952648739,0,-20.1100952648739
0,1E+308,,0,-20.1089180287192,0,-20.1089180287192,0,-20.1089180287192
0,-15.274021616254,,0,-20.1077407925644,0,-20.1077407925644,0,-20.1077407925644
1,-15.274021616254,,0,-20.1065635564097,0,-20.1065635564097,0,-20.1065635564097
0,1E+308,,0,-20.1053863202549,0,-20.1053863202549,0,-20.1053863202549
0,-15.2690963558586,,0,-20.1042090841002,0,-20.1042090841002,0,-20.1042090841002
1,-15.2690963558586,,0,-20.1030318479454,0,-20.1030318479454,0,-20.1030318479454
